,PRIMARY,GAIA,HD,HIP,GJ,TIC,KIC,CSTL,SPTP,Rank_NEID,V,Teff (K),log g,Δ,t_exp (s),rv_rms_db,nobs_db,FOM,Tau [d],Nobs Run 0.5,Nobs Run 1,Nobs Run 2,RV RMS Run 0.5,RV RMS Run 1,RV RMS Run 2,Δγ Run 1–0.5,Δγ Run 1–2,nobs_NEID,rv_rms_NEID
1092,HD76151,Gaia DR3 5760701787150565888,HD76151,HIP43726,GJ327,TIC62569281,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1093,HD74014,Gaia DR3 5761566656125168512,HD74014,HIP42634,-,TIC149743134,-,-,K0III,,,,,,,,,,,,,,,,,,,0,
1094,HD126679,Gaia DR3 6298822878231170944,HD126679,HIP70677,-,TIC157414155,-,-,-,,,,,,,,,,,,,,,,,,,0,
1095,HD139460,Gaia DR3 6317407201723597952,HD139460,HIP76602,-,TIC32413887,-,-,-,,,,,,,,,,,,,,,,,,,0,
1096,HD137778,Gaia DR3 6317854118838346752,HD137778,HIP75722,GJ586B,TIC37149743,-,-,K1V,,,,,,,,,,,,,,,,,,,0,
1097,HD136257,Gaia DR3 6321098468414040064,HD136257,HIP75038,-,TIC36886075,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
1098,HD128596,Gaia DR3 6323491761630110080,HD128596,HIP71559,-,TIC392551753,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1099,HD132375A,Gaia DR3 6337304342094223744,HD132375A,HIP73309,-,TIC175838533,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1100,HD208704,Gaia DR3 6840872971033892608,HD208704,HIP108468,-,TIC425039286,-,-,G1V,,,,,,,,,,,,,,,,,,,0,
1101,2Cap,Gaia DR3 6879764552737781888,HD191862,HIP99572,GJ4139,TIC14347470,-,  2 Cap,F7V,,,,,,,,,,,,,,,,,,,0,
1102,HD200968A,Gaia DR3 6885342959337741184,HD200968A,HIP104239,GJ819A,TIC214563192,-,-,K1IV,,,,,,,,,,,,,,,,,,,0,
1103,HD199587,Gaia DR3 6888578993858217216,HD199587,-,-,TIC442509264,-,-,G2/3V,,,,,,,,,,,,,,,,,,,0,
1104,HD204363,Gaia DR3 6891522592643182080,HD204363,HIP106007,-,TIC187758147,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
1105,HD206116,Gaia DR3 6893444161011078400,HD206116,HIP107001,-,TIC333166659,-,-,G2V,,,,,,,,,,,,,,,,,,,0,
1106,HD204236,Gaia DR3 6898265656937739648,HD204236,HIP105947,-,TIC187413972,-,-,-,,,,,,,,,,,,,,,,,,,0,
1107,HD195838,Gaia DR3 6899801640323201024,HD195838,HIP101507,GJ4147,TIC429251484,-,-,F9V,,,,,,,,,,,,,,,,,,,0,
1108,HD201099,Gaia DR3 6911186911429095808,HD201099,HIP104294,-,TIC364128662,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1109,11Aqr,Gaia DR3 6912276699251278848,HD199960,HIP103682,-,TIC248854510,-, 11 Aqr,G1V,51.0,6.21,5885.0,4.22,3.27,1032.0,4.16,25.0,4.055,,,,,,,,,,0,
1110,HD201378,Gaia DR3 6912756155040419584,HD201378,HIP104435,-,TIC248480075,-,-,F7V,,,,,,,,,,,,,,,,,,,0,
1111,HD197210,Gaia DR3 6914237987476826624,HD197210,HIP102203,-,TIC248194676,-,-,G5V,,,,,,,,,,,,,,,,,,,0,
